Row Id,Row Id.,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner,NUMCHLD,INCOME,gender,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT,TARGET_B,TARGET_D
1,17,0,1,0,0,1,1.0,5.0,1,9.0,1399.0,637.0,703.0,1.0,74.0,102.0,6.0,5.0,29.0,3.0,4.8571428569999995,1.0,5.0
2,25,1,0,0,0,1,1.0,1.0,0,7.0,698.0,422.0,463.0,4.0,46.0,94.0,12.0,12.0,34.0,6.0,9.4,1.0,10.0
3,29,0,0,0,1,0,2.0,5.0,1,8.0,828.0,358.0,376.0,13.0,32.0,30.0,10.0,5.0,29.0,7.0,4.285714286,1.0,5.0
4,38,0,0,0,1,1,1.0,3.0,0,4.0,1471.0,484.0,546.0,4.0,94.0,177.0,10.0,8.0,30.0,3.0,7.08,0.0,0.0
5,40,0,1,0,0,1,1.0,4.0,0,8.0,547.0,386.0,432.0,7.0,20.0,23.0,11.0,11.0,30.0,6.0,7.666666667,0.0,0.0
6,53,0,1,0,0,1,1.0,4.0,1,8.0,482.0,242.0,275.0,28.0,38.0,73.0,10.0,10.0,31.0,3.0,7.3,1.0,8.0
7,58,0,0,0,1,1,1.0,4.0,1,8.0,857.0,450.0,498.0,5.0,47.0,139.0,20.0,20.0,37.0,3.0,10.69230769,1.0,10.0
8,61,1,0,0,0,1,1.0,1.0,0,7.0,1355.0,411.0,497.0,9.0,77.0,249.0,15.0,7.0,35.0,3.0,9.576923077,1.0,20.0
10,87,1,0,0,0,1,1.0,4.0,1,8.0,1438.0,458.0,533.0,8.0,21.0,26.0,16.0,16.0,30.0,6.0,13.0,0.0,0.0
11,100,0,0,0,1,1,1.0,4.0,1,8.0,1316.0,541.0,575.0,11.0,66.0,108.0,12.0,7.0,31.0,1.0,6.0,1.0,7.0
12,104,1,0,0,0,1,1.0,1.0,1,5.0,428.0,203.0,271.0,39.0,73.0,161.0,6.0,3.0,32.0,7.0,3.6590909089999997,1.0,3.0
13,121,0,0,1,0,1,1.0,4.0,1,5.0,629.0,434.0,472.0,6.0,59.0,84.0,5.0,3.0,30.0,12.0,3.652173913,0.0,0.0
14,142,1,0,0,0,0,1.0,5.0,0,8.0,1318.0,399.0,458.0,8.0,25.0,40.0,10.0,10.0,32.0,2.0,8.0,1.0,10.0
15,149,0,0,0,1,0,1.0,2.0,0,8.0,1052.0,337.0,402.0,5.0,27.0,50.0,20.0,20.0,37.0,7.0,16.66666667,0.0,0.0
16,159,0,0,1,0,1,1.0,3.0,1,5.0,779.0,434.0,500.0,3.0,98.0,126.0,7.0,7.0,33.0,1.0,4.344827586,1.0,11.0
20,182,0,0,0,1,0,1.0,6.0,1,7.0,995.0,372.0,407.0,10.0,83.0,476.0,25.0,10.0,28.0,6.0,13.6,1.0,23.0
21,186,0,0,1,0,1,1.0,7.0,0,7.0,936.0,521.0,590.0,11.0,69.0,98.0,6.0,5.0,31.0,2.0,3.62962963,1.0,4.0
22,187,0,0,0,1,1,1.0,5.0,1,8.0,860.0,321.0,392.0,9.0,38.0,53.0,20.0,5.0,18.0,0.0,8.833333332999999,1.0,5.0
23,193,0,0,0,1,1,1.0,4.0,1,8.0,3510.0,622.0,633.0,4.0,22.0,25.0,15.0,15.0,34.0,3.0,12.5,0.0,0.0
24,194,0,0,1,0,0,1.0,5.0,1,8.0,735.0,446.0,455.0,7.0,58.0,79.0,9.0,9.0,30.0,6.0,6.076923077000001,0.0,0.0
25,196,0,0,0,1,1,1.0,7.0,0,6.0,1888.0,382.0,435.0,17.0,98.0,350.0,23.0,13.0,17.0,35.0,17.5,1.0,10.0
26,199,0,0,1,0,1,1.0,6.0,1,9.0,3958.0,761.0,862.0,0.0,53.0,119.0,20.0,20.0,31.0,3.0,11.9,1.0,20.0
27,202,0,1,0,0,1,1.0,4.0,1,8.0,411.0,236.0,273.0,21.0,15.0,15.0,15.0,15.0,35.0,5.0,15.0,1.0,15.0
28,220,0,1,0,0,1,1.0,4.0,0,2.0,610.0,281.0,328.0,16.0,50.0,161.0,25.0,10.0,36.0,5.0,10.0625,1.0,10.0
29,235,1,0,0,0,1,1.0,1.0,1,8.0,826.0,415.0,514.0,5.0,37.0,32.0,15.0,15.0,37.0,6.0,8.0,0.0,0.0
30,237,1,0,0,0,1,1.0,4.0,1,4.0,780.0,321.0,354.0,14.0,48.0,175.0,20.0,15.0,37.0,9.0,13.46153846,1.0,10.0
31,241,0,1,0,0,0,1.0,2.0,0,2.0,418.0,300.0,348.0,12.0,92.0,186.0,15.0,14.0,37.0,5.0,8.454545455,0.0,0.0
32,243,0,0,0,1,0,1.0,4.0,1,4.0,3321.0,434.0,536.0,10.0,66.0,85.0,20.0,20.0,37.0,10.0,9.444444444,1.0,10.0
33,257,0,0,0,1,1,1.0,3.0,0,8.0,1868.0,324.0,380.0,12.0,28.0,31.0,10.0,10.0,32.0,3.0,5.166666667,1.0,5.0
34,258,0,0,1,0,0,1.0,4.0,1,8.0,457.0,302.0,329.0,19.0,85.0,79.0,10.0,10.0,30.0,12.0,3.5909090910000003,0.0,0.0
35,273,0,0,0,1,1,1.0,5.0,0,8.0,1604.0,438.0,431.0,12.0,26.0,35.0,10.0,10.0,31.0,6.0,8.75,0.0,0.0
36,282,0,0,0,1,1,1.0,4.0,1,8.0,842.0,464.0,556.0,3.0,50.0,107.0,10.0,10.0,31.0,4.0,5.944444444,0.0,0.0
37,288,1,0,0,0,1,1.0,6.0,1,8.0,2085.0,755.0,797.0,3.0,50.0,85.0,5.0,5.0,32.0,6.0,4.722222222,1.0,5.0
38,301,0,0,0,1,1,1.0,6.0,0,8.0,5505.0,1255.0,1142.0,0.0,24.0,39.0,16.0,13.0,34.0,6.0,13.0,0.0,0.0
39,308,0,0,0,1,1,1.0,4.0,1,8.0,819.0,415.0,428.0,5.0,26.0,28.0,10.0,10.0,29.0,4.0,5.6,0.0,0.0
